Nome do órgão;Tipo de retorno principal (Se é E-mail, Telefone, Carta ou Site);Telefones;Site;E-mails;Nome do órgão principal (no caso de uma sub-unidade);CEPdoendereço;Logradouro do endereço;Número;Bairro;Cidade;Estado;Complemento;Tipo
CEJUSC ALTA FLORESTA;E-MAIL; (66) 3512-3600 – ramal 248;http://www.tjmt.jus.br/;centro.altafloresta@tjmt.jus.br ;;78580-000;Avenida Ariosto Riva;1987;Centro;Alta Floresta;MT;Fórum da Comarca de Alta Floresta;CEJUSC
CEJUSC ALTO ARAGUAIA;E-MAIL;(66) 3481-1334 – ramal 201;http://www.tjmt.jus.br/;centro.altoaraguaia@tjmt.jus.br;;78780-000;Rua Onildo Taveira ;143;;Alto Araguaia;MT;Fórum Desembargador Otair da Cruz Bandeira;CEJUSC
CEJUSC ALTO GARÇAS;E-MAIL;(66) 3471-1559 ramal 208;http://www.tjmt.jus.br/;centro.altogarcas@tjmt.jus.br;;78770-000;Rua Dom Aquino;383;Centro;Alto Garças;MT;Fórum da Comarca de Alto Garças;CEJUSC
CEJUSC ARENÁPOLIS;E-MAIL;(65) 3343-1375 – 3343-2222 ramal 214;http://www.tjmt.jus.br/;centro.arenapolis@tjmt.jus.br;;78420-000;Rua Juscelino Kubitschek;629-E;Vila Nova;Arenápolis;MT;Fórum da Comarca de Arenápolis;CEJUSC
CEJUSC BARRA DO BUGRES;E-MAIL;(65)3361-3282;http://www.tjmt.jus.br/;centro.barradobugres@tjmt.jus.br;;78390-000;Rua João Custódio da Silva;408;Maracanã;Barra Do Bugres;MT;Prédio do Juizado Especial Cível e Criminal;CEJUSC
CEJUSC BARRA DO GARÇAS;E-MAIL;(66) 3402-4400 – ramal 211;http://www.tjmt.jus.br/;centro.barradogarcas@tjmt.jus.br;;78600-000;Rua Francisco Lira;1.051;;Barra Do Garças;MT;Setor Sena Marques - Fórum Desembargador Domingos Sávio Brandão Lima;CEJUSC
CEJUSC CÁCERES;E-MAIL;(65) 3211.1300 ramal 251;http://www.tjmt.jus.br/;centro.caceres@tjmt.jus.br;;78200-000;Rua São Pedro;257;Cavalhada;Cáceres;MT;Fórum da Comarca de Cáceres;CEJUSC
CEJUSC CAMPO NOVO DO PARECIS;E-MAIL;(65) 3382.2440 – ramal 207;http://www.tjmt.jus.br/;centro.camponovodoparecis@tjmt.jus.br;;78360-000;Avenida Rio Grande do Sul;731;;Campo Novo Do Parecis;MT;Fórum Desembargador Mauro José Pereira;CEJUSC
CEJUSC CAMPO VERDE;E-MAIL;(66) 3419.2233 (ram 231);http://www.tjmt.jus.br/;centro.campoverde@tjmt.jus.br;;78840-000;Avenida Manoel Genildo de Araújo;571;Campo Real II;Campo Verde;MT;;CEJUSC
CEJUSC CANARANA;E-MAIL;(66) 3478-1555/1644/1658 – ramal 204;http://www.tjmt.jus.br/; centro.canarana@tjmt.jus.br;;78640-000;Rua Miraguaí;601; Jardim Tropical;Canarana;MT;Fórum Desembargador Francisco de Arruda Lobo Filho;CEJUSC
CEJUSC CHAPADA DOS GUIMARÃES;E-MAIL;(65) 3301-1236 ramal 229;http://www.tjmt.jus.br/;centro.chapada@tjmt.jus.br;;78195-000;Praça Rafael de Siqueira;970;Centro;Chapada Dos Guimarães;MT;Fórum da Comarca de Chapada dos Guimarães;CEJUSC
CEJUSC COLÍDER;E-MAIL;(66) 3541-1285 - ramal 218;http://www.tjmt.jus.br/;centro.comodoro@tjmt.jus.br;;78500-000;Avenida Juiz Vladimir Aparecido Baptista;S/N;Jardim Vânia ;Colíder;MT;Quadra 16, Setor Leste -Residencial Everest;CEJUSC
CEJUSC COMODORO;E-MAIL;(65) 3283-1623 - ramal 219;http://www.tjmt.jus.br/;centro.comodoro@tjmt.jus.br;;78310-000;Rua Pará ;192n;Jardim Mato Grosso;Comodoro;MT;Fórum Des. Simão Aureliano de Barros Filho;CEJUSC
CEJUSC DA CAPITAL - CUIABÁ;E-MAIL;(65) 3648-6065/3648-6575;http://www.tjmt.jus.br/;central.capital@tjmt.jus.br;;78043-263;Avenida Des. Milton Figueiredo Ferreira Mendes;S/N;Centro Político Administrativo;Cuiabá;MT;Fórum da Comarca de Diamantino;CEJUSC
CEJUSC DIAMANTINO;E-MAIL;(65) 3336-1611 – ramal 234;http://www.tjmt.jus.br/;centro.diamantino@tjmt.jus.br;;78430-000;Avenida Miguel Abib;S/N;Jd. Eldorado;Diamantino;MT;;CEJUSC
CEJUSC GUARANTÃ DO NORTE;E-MAIL; (66) 3552-2040;http://www.tjmt.jus.br/;centro.guarantadonorte@tjmt.jus.br;;78520-000;Rua Guarantã;1.255;Cidade Nova;Guarantã Do Norte;MT;Fórum da Comarca de Guarantã do Norte;CEJUSC
CEJUSC JACIARA;E-MAIL;(66) 3461-2464 – ramal 219;http://www.tjmt.jus.br/; centro.jaciara@tjmt.jus.br;;78820-000;Avenida Zé de Bia ;S/N; Jardim Aeroporto II ;Jaciara;MT;Fórum da Comarca de Jaciara;CEJUSC
CEJUSC JUARA;E-MAIL;(66) 3556-1496;http://www.tjmt.jus.br/;centro.juara@tjmt.jus.br;;78575-000;Rua Anita Garibaldi ;S/N;Centro;Juara;MT;Fórum da Comarca de Juara;CEJUSC
CEJUSC JUÍNA;E-MAIL;(66)3566-1563 – ramal 206;http://www.tjmt.jus.br/;centro.juina@tjmt.jus.br;;78320-000;Avenida dos Jambos;S/N;Centro;Juína;MT;Fórum Desembargador Wandyr Clait Duarte;CEJUSC
CEJUSC LUCAS DO RIO VERDE;E-MAIL;(65) 3549-2787 – ramal 237;http://www.tjmt.jus.br/;centro.lucasdorioverde@tjmt.jus.br;;78455-000;Avenida Mato Grosso;1912-s ;Jardim das Palmeiras;Lucas Do Rio Verde;MT;Fórum da Comarca de Lucas do Rio Verde;CEJUSC
CEJUSC MIRASSOL D’OESTE;E-MAIL;(65) 3241-1620 - ramal 220;http://www.tjmt.jus.br/;centro.mirassol@tjmt.jus.br;;78280-000;Avenida Joaquim Cunha ;595;Altos do Boa Vista;Mirassol D’oeste;MT;Fórum da Comarca de Mirassol D'Oeste;CEJUSC
CEJUSC NOVA MUTUM;E-MAIL;(65) 3308-3434 – ramal 239;http://www.tjmt.jus.br/;centro.novamutum@tjmt.jus.br  ;;78450-000;Rua das Helicônias;444n;Jardim das Orquídeas;Nova Mutum;MT;Fórum da Comarca de Nova Mutum;CEJUSC
CEJUSC NOVA XAVANTINA;E-MAIL;(66) 3438-1243 – ramal 209;http://www.tjmt.jus.br/;centro.novaxavantina@tjmt.jus.br;;78690-000;Rua Expedição Roncador Xingu;S/N;;Nova Xavantina;MT;Fórum da Comarca de Nova Xavantina;CEJUSC
CEJUSC PARANATINGA;E-MAIL;(66) 3573-1003 - ramal 203;http://www.tjmt.jus.br/;centro.paranatinga@tjmt.jus.br;;78870-000;Avenida XV de Novembro ;118;Centro;Paranatinga;MT;Fórum da Comarca de Paranatinga;CEJUSC
CEJUSC PEIXOTO DE AZEVEDO;E-MAIL;(66)3575-2028 - ramal 2212;http://www.tjmt.jus.br/;centro.peixotodeazevedo@tjmt.jus.br;;78530-000;Rua Pedro Álvares Cabral;38;Centro;Peixoto De Azevedo;MT;Fórum da Comarca de Peixoto de Azevedo;CEJUSC
CEJUSC PONTES E LACERDA;E-MAIL;(65) 3266-8600 - ramal 215;http://www.tjmt.jus.br/;centro.ponteselacerda@tjmt.jus.br;;78250-000;Avenida Paraná ;2.598;São José;Pontes E Lacerda;MT;Fórum da Comarca de Pontes e Lacerda;CEJUSC
CEJUSC POXORÉU;E-MAIL;(66) 3436 - 1250 - ram 209 e 202;http://www.tjmt.jus.br/;centro.poxoreu@tjmt.jus.br;;78800-000;Rua Euclides da Cunha;S/N;Santa Luzia ;Poxoréu;MT;Fórum da Comarca de Poxoréu;CEJUSC
CEJUSC PRIMAVERA DO LESTE;E-MAIL;(66) 3498-4549;http://www.tjmt.jus.br/;centro.primaveradoleste@tjmt.jus.br;;78850-000;Avenida Paulo César Aranda;241;Jardim Riva;Primavera Do Leste;MT;UNIC Educacional Ltda. – Campus Primavera do Leste;CEJUSC
CEJUSC RONDONÓPOLIS;E-MAIL;(66) 3410-6100 – ramal 6211;http://www.tjmt.jus.br/;centro.rondonopolis@tjmt.jus.br;;78710-100;Rua Rio Branco;2299;;Rondonópolis;MT;Fórum Desembargador William Drosghig;CEJUSC
CEJUSC SÃO FÉLIX DO ARAGUAIA;E-MAIL;(66) 3386-1577;http://www.tjmt.jus.br/;centro.saojosedorioclaro@tjmt.jus.br;;78670-000;Avenida DR José Fragelli ;786;Centro;São Félix Do Araguaia;MT;Fórum da Comarca de São Félix do Araguaia;CEJUSC
CEJUSC SÃO JOSÉ DO RIO CLARO;E-MAIL;(66) 3386-1577 – ramal 213;http://www.tjmt.jus.br/;centro.saojosedorioclaro@tjmt.jus.br;;78435-000;Rua Santa Catarina ;709;;São José Do Rio Claro;MT;Fórum Desembargador Raul Bezerra;CEJUSC
CEJUSC SAPEZAL;E-MAIL;(65) 3383 1877;http://www.tjmt.jus.br/;centro.saojosedorioclaro@tjmt.jus.br;;78365-000;Avenida Pirambóia  ;800;Centro;Sapezal;MT;Fórum da Comarca de Sapezal;CEJUSC
CEJUSC SINOP;E-MAIL;(66) 3135-6476;http://www.tjmt.jus.br/;centro.sinop@tjmt.jus.br;;78550-392;Avenida Magna Cássia Pissinatti ;69;;Sinop;MT;FASIPE -Fórum da Comarca de Sinop;CEJUSC
CEJUSC SORRISO;E-MAIL;(66)3545-8400 – ramal 2013;http://www.tjmt.jus.br/;centro.sorriso@tjmt.jus.br;;78890-000;Rua Canoas ;641;Centro;Sorriso;MT;Fórum da Comarca de Sorriso;CEJUSC
CEJUSC TANGARÁ DA SERRA;E-MAIL;(65)3339-2700 - ramal 213;http://www.tjmt.jus.br/;centro.tangaradaserra@tjmt.jus.br;;78300-000;Avenida Presidente Tancredo de Almeida Neves;1220n;Jardim Mirante;Tangará Da Serra;MT;Fórum da Comarca de Tangará da Serra;CEJUSC
CEJUSC VÁRZEA GRANDE;E-MAIL;(65) 3688-8434;http://www.tjmt.jus.br/;centro.varzeagrande@tjmt.jus.br;;78125-700;Avenida Avenida Castelo Branco;S/N;Várzea Grande;Várzea Grande;MT;Fórum Desembargador Cesarino Delfino Cezar;CEJUSC
CEJUSC VILA RICA;E-MAIL;(66) 3554-1603 – ramal 203;http://www.tjmt.jus.br/;centro.vilarica@tjmt.jus.br;;78645-000;Avenida Perimetral Sul;370;Setor Sul;Vila Rica;MT;Fórum da Comarca de Vila Rica;CEJUSC
CEJUSC CORUMBÁ;E-MAIL; (67) 3907-5973;https://www.tjms.jus.br/;cejusc-corumba@tjms.jus.br;;79320-010;Rua 21 de Setembro;1633;Bairro Aeroporto;Corumbá ;MS;;CEJUSC
CEJUSC DOURADOS;E-MAIL;(67) 3902-1847;https://www.tjms.jus.br/;cejusc-dourados@tjms.jus.br;;79804-030;Avenida Presidente Vargas;210;Jardim América;Dourados ;MS;;CEJUSC
CEJUSC NAVIRAÍ;E-MAIL;(67) 3461-1657, Ramal 222;https://www.tjms.jus.br/;cejusc-navirai@tjms.jus.br ;;79950-000;Rua Higino Gomes Duarte;155;Centro;Naviraí ;MS;;CEJUSC
CEJUSC PONTA PORÃ;E-MAIL;(67) 3432-0233 e 3431-2441, ramal 240;https://www.tjms.jus.br/;cejusc-pontapora@tjms.jus.br;;79900-000;Rua Baltazar Saldanha;1817;Jardim Ipanema;Ponta Porã ;MS;;CEJUSC
CEJUSC TRÊS LAGOAS;E-MAIL;(67) 3929-1709;https://www.tjms.jus.br/;cejusc-treslagoas@tjms.jus.br;;79601-100;Rua Zuleide Pérez Tabox;1109;Vila Nova;Três Lagoas ;MS;;CEJUSC
CEJUSC AÇUCENA;E-MAIL;(33) 3298-1195;https://www.tjmg.jus.br/portal-tjmg/;cejusc.acn@tjmg.jus.br;;35147-000;Rua Getúlio Vargas;85;Centro;Açucena;MG;;CEJUSC
CEJUSC ÁGUAS FORMOSAS;E-MAIL;(33) 3611-1154;https://www.tjmg.jus.br/portal-tjmg/;cejusc.agf@tjmg.jus.br;;39880-000;Rua Deodoro de Almeida Pinto;132;Centro;Águas Formosas;MG;;CEJUSC
CEJUSC ALÉM PARAÍBA;E-MAIL;(32)3462-6588;https://www.tjmg.jus.br/portal-tjmg/;cejusc.api@tjmg.jus.br;;36660-000;Praça Coronel Breves;89;São José;Além Paraíba;MG;;CEJUSC
CEJUSC ALFENAS;E-MAIL;(35) 3701-1556;https://www.tjmg.jus.br/portal-tjmg/;cejusc.afn@tjmg.jus.br;;37130-029;Praça DR Emílio da Silveira;314;Centro;Alfenas;MG;;CEJUSC
CEJUSC ALMENARA;E-MAIL;(33) 3721-9550;https://www.tjmg.jus.br/portal-tjmg/;cejusc.amn@tjmg.jus.br;;;Rua Dr. Sabino Silva;32;Centro;Almenara;MG;;CEJUSC
CEJUSC ALTO RIO DOCE;E-MAIL;(32) 3345-1277;https://www.tjmg.jus.br/portal-tjmg/;cejusc.adc@tjmg.jus.br;;36260-000;Praça Miguel Batista Vieira;S/N;Centro;Alto Rio Doce;MG;;CEJUSC
CEJUSC ARAÇUAI;E-MAIL;(33)3731-1797;https://www.tjmg.jus.br/portal-tjmg/;cejusc.aui@tjmg.jus.br;;39600-000;Praça José Antônio Tanure;;;Araçuai;MG;;CEJUSC
CEJUSC ARAGUARI;E-MAIL;(34) 3242-7408;https://www.tjmg.jus.br/portal-tjmg/;cejusc.ari@tjmg.jus.br;;38440020;Rua Quinca Mariano;337;Centro;Araguari;MG;Edifício Farid Nader;CEJUSC
CEJUSC ARAXÁ;E-MAIL;(34) 3669-5619;https://www.tjmg.jus.br/portal-tjmg/;cejusc.axa@tjmg.jus.br;;38183-380;Avenida Tancredo Neves ;330;Vila Silvéria;Araxá;MG;;CEJUSC
CEJUSC ARCOS;E-MAIL;(37 )3351-3571;https://www.tjmg.jus.br/portal-tjmg/;cejusc.acs@tjmg.jus.br;;35588-000;Avenida Doutor Olinto Fonseca;4;Centro;Arcos;MG;;CEJUSC
CEJUSC BARÃO DE COCAIS;E-MAIL;(31) 3837-2933;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bcs@tjmg.jus.br;;35970-000;Rua Afonso Pena;110;Centro;Barão De Cocais;MG;;CEJUSC
CEJUSC BARBACENA;E-MAIL;(31) 3339-5068;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bca@tjmg.jus.br;;36200-012;Rua Belisário Pena;460;Centro;Barbacena;MG;;CEJUSC
CEJUSC BARROSO;E-MAIL;(32)3351-1416;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bso@tjmg.jus.br;;36212-000;Praça Sant'Ana;120;Centro;Barroso;MG;;CEJUSC
CEJUSC BETIM;E-MAIL;(31) 3512-1804;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bet@tjmg.jus.br;;32600-234;Rua Prof. Osvaldo Franco;55;Centro;Betim;MG;;CEJUSC
CEJUSC BICAS;E-MAIL;(32) 3271-1274;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bis@tjmg.jus.br;;36600-000;Rua José Maria Guarnieri;1;Alto das Brisas;Bicas;MG;;CEJUSC
CEJUSC BOM DESPACHO;E-MAIL;(37) 3521-2715;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bdp@tjmg.jus.br;;35600-000;Rua Faustino Teixeira ;91;Centro;Bom Despacho;MG;;CEJUSC
CEJUSC BRUMADINHO;E-MAIL;(31) 3571-2122  /(31) 3571-1176;https://www.tjmg.jus.br/portal-tjmg/;cejusc.bmo@tjmg.jus.br;;35460-000;Rua Governador Valadares;271;Centro;Brumadinho;MG;;CEJUSC
CEJUSC CAETÉ;E-MAIL;(31) 3651-9997;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cet@tjmg.jus.br;;34800-000;Praça João Pinheiro;3;Centro;Caeté;MG;;CEJUSC
CEJUSC CAMANDUCAIA;E-MAIL;(35) 3433-1029;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cdu@tjmg.jus.br;;37650-000;Praça do Centenário;237;Centro;Camanducaia;MG; Fórum Matheus Cyrillo;CEJUSC
CEJUSC CAMPO ALTOS;E-MAIL;(37) 3426-1778;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cmt@tjmg.jus.br;;38970-000;Rua Doutor Getúlio Portela;65;Centro;Campo Altos;MG;;CEJUSC
CEJUSC CAMPO BELO;E-MAIL;(35) 3831-9744;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cpo@tjmg.jus.br;;;;;;Campo Belo;MG;;CEJUSC
CEJUSC CAPELINHA;E-MAIL;(33) 3516-1402;https://www.tjmg.jus.br/portal-tjmg/;cejusc.clh@tjmg.jus.br;;39680-000;Rua Capitão Domingos Pimenta;19;;Capelinha;MG;;CEJUSC
CEJUSC CAPINÓPOLIS;E-MAIL;(34) 3263-1162;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cns@tjmg.jus.br;;38300-000;Avenida Cento e Onze;465;Centro;Capinópolis;MG;;CEJUSC
CEJUSC CARANGOLA;E-MAIL;(32) 3741-9582;https://www.tjmg.jus.br/portal-tjmg/;cejusc.crl@tjmg.jus.br;;36800-000;Praça Coronel Maximiano;56;Centro;Carangola;MG;;CEJUSC
CEJUSC CARATINGA;E-MAIL;33) 3322-6450;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cga@tjmg.jus.br;;35300-274;Rua Luiz Antônio Bastos Cortes;16;Dos Rodoviários;Caratinga;MG;;CEJUSC
CEJUSC CARMO DO CAJURU;E-MAIL;(37) 3244-1413 Ramal 218;https://www.tjmg.jus.br/portal-tjmg/;cejusc.ccu@tjmg.jus.br;;35557-000;Rua Nagib Mileib;265;São Luiz;Carmo Do Cajuru;MG;;CEJUSC
CEJUSC CARMO DO PARANAÍBA;E-MAIL;(34) 3851-2347 Ramal 24;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cmi@tjmg.jus.br;;;Praça São Francisco ;S/N;Centro;Carmo Do Paranaíba;MG;;CEJUSC
CEJUSC CARMO DO RIO CLARO;E-MAIL;(35) 3561-1713;https://www.tjmg.jus.br/portal-tjmg/;cejusc.crc@tjmg.jus.br;;37150-000;Praça Capitão Tito Carlos Pereira;40;;Carmo Do Rio Claro;MG;;CEJUSC
CEJUSC CARMÓPOLIS DE MINAS;E-MAIL;(37) 3333-1501;https://www.tjmg.jus.br/portal-tjmg/;cejusc.crm@tjmg.jus.br;;35534-000;Praça do Carmo;190;Centro;Carmópolis De Minas;MG;;CEJUSC
CEJUSC CAXAMBU;E-MAIL;(35) 3341-3150;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cax@tjmg.jus.br;;37440-000;Rua Major Penha;22;;Caxambu;MG;;CEJUSC
CEJUSC CLÁUDIO;E-MAIL;(37) 3381-2870;https://www.tjmg.jus.br/portal-tjmg/;cejusc.clu@tjmg.jus.br;;35530-000;Praça dos Ex-Combatentes ;380;Centro;Cláudio;MG;;CEJUSC
CEJUSC CONCEIÇÃO DO MATO DENTRO;E-MAIL;(31) 3868-1575;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cmd@tjmg.jus.br;;35860-000;Rua Daniel de Carvalho;189;Centro;Conceição Do Mato Dentro;MG;;CEJUSC
CEJUSC CONGONHAS;E-MAIL;(31) 3731-1058;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cng@tjmg.jus.br;;36415-000;Rua José Júlio;25;Matriz - Congonhas ;Congonhas;MG;;CEJUSC
CEJUSC CONSELHEIRO LAFAIETE;E-MAIL;(31) 3764-5500;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cnl@tjmg.jus.br;;36400-000;Rua Melvin Jones;435;Campo Alegre;Conselheiro Lafaiete;MG;5º andar ;CEJUSC
CEJUSC CONTAGEM;E-MAIL;2101-1538;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cem@tjmg.jus.br;;32010-375;Avenida Maria Da Glória Rocha;425;Centro;Contagem;MG;;CEJUSC
CEJUSC CORINTO;E-MAIL;(38) 3751-2005;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cit@tjmg.jus.br;;39200-000;Rua Doutor Antônio Alvarenga;235;Centro;Corinto;MG;;CEJUSC
CEJUSC COROMANDEL;E-MAIL;(34) 3841-1680;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cel@tjmg.jus.br;;38550-000;Avenida DR Ermino Rodrigues Pereira;431;Vale do Sol ;Coromandel;MG;;CEJUSC
CEJUSC CORONEL FABRICIANO;E-MAIL;(31) 3865-2207;https://www.tjmg.jus.br/portal-tjmg/;cejusc.crf@tjmg.jus.br;;35170-041;Rua Boa Vista;72;Centro;Coronel Fabriciano;MG;;CEJUSC
CEJUSC CURVELO;E-MAIL;(38) 3721-2940;https://www.tjmg.jus.br/portal-tjmg/;cejusc.cuv@tjmg.jus.br;;35790-000;Avenida Sarobá;400; Maria Amália;Curvelo;MG;;CEJUSC
CEJUSC DIAMANTINA;E-MAIL;(38) 3531-2600;https://www.tjmg.jus.br/portal-tjmg/;cejusc.dmt@tjmg.jus.br;;39100-000;Praça JK;S/N;Centro;Diamantina;MG;;CEJUSC
CEJUSC DIVINÓPOLIS;E-MAIL;(37) 3216-6200;https://www.tjmg.jus.br/portal-tjmg/;cejusc.dvl@tjmg.jus.br;;;;;;Divinópolis;MG;;CEJUSC
CEJUSC ELÓI MENDES;E-MAIL;(35) 3264-1103;https://www.tjmg.jus.br/portal-tjmg/;cejusc.elm@tjmg.jus.br;;37110-000;Praça do Pretório;180;Elói Mendes ;Elói Mendes;MG;;CEJUSC
CEJUSC ESMERALDAS;E-MAIL;(31) 3538-1436;https://www.tjmg.jus.br/portal-tjmg/;cejusc.ees@tjmg.jus.br;;35740-000;Praça Getúlio Vargas;60;;Esmeraldas;MG;;CEJUSC
CEJUSC ESPERA FELIZ;E-MAIL;(32) 3746-1341;https://www.tjmg.jus.br/portal-tjmg/;cejusc.eep@tjmg.jus.br;;;Rua Fioravante Padula;80;Centro;Espera Feliz;MG;;CEJUSC
CEJUSC EXTREMA;E-MAIL;(35) 3435-1499;https://www.tjmg.jus.br/portal-tjmg/;cejusc.exm@tjmg.jus.br;;37640-000;Avenida Delegado Waldemar Gomes Pinto;1628;Ponte Alta;Extrema;MG;Praça dos 3 Poderes;CEJUSC
CEJUSC FORMIGA;E-MAIL;(37) 3322-1530;https://www.tjmg.jus.br/portal-tjmg/;cejusc.fma@tjmg.jus.br;;35570-000;Praça São Vicente Férrer;1;Centro;Formiga;MG;;CEJUSC
CEJUSC FRANCISCO SÁ;E-MAIL;(38) 3233-1185;https://www.tjmg.jus.br/portal-tjmg/;cejusc.fcs@tjmg.jus.br;;39580-000;Rua Olímpio Dias;536;;Francisco Sá;MG;;CEJUSC
CEJUSC FRUTAL;E-MAIL;(34) 3429-8600;https://www.tjmg.jus.br/portal-tjmg/;cejusc.fru@tjmg.jus.br;;38200-000;Praça 07 de Setembro;50;Centro;Frutal;MG;;CEJUSC
CEJUSC GALILÉIA;E-MAIL;(33) 3244-1370;https://www.tjmg.jus.br/portal-tjmg/;cejusc.gll@tjmg.jus.br;;35250-000;Avenida Oito de Dezembro;849;Centro;Galiléia;MG;;CEJUSC
CEJUSC GOVERNADOR VALADARES;E-MAIL;(33) 3279-5822;https://www.tjmg.jus.br/portal-tjmg/;;;35010-140;Praça do XX Aniversário;S/N;Centro;Governador Valadares;MG;;CEJUSC
CEJUSC GUARANI;E-MAIL;(32) 3575-1623;https://www.tjmg.jus.br/portal-tjmg/;cejusc.gni@tjmg.jus.br;;360160-000;Rua Vinte e Cinco de Março;142;Centro;Guarani;MG;;CEJUSC
CEJUSC GUAXUPÉ;E-MAIL;(35) 3552-4600;https://www.tjmg.jus.br/portal-tjmg/;cejusc.gpe@tjmg.jus.br;;37800-000;Avenida Prefeito Aníbal Ribeiro do Vale;150;Vila Santo;Guaxupé;MG;2º andar - sala 211 ;CEJUSC
CEJUSC IBIÁ;E-MAIL;(34) 3631-1375;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iby@tjmg.jus.br;;38950-000;Praça  Santa Cruz;S/N;;Ibiá;MG;;CEJUSC
CEJUSC IBIRITÉ;E-MAIL;(31) 3533-1555;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iib@tjmg.jus.br;;32400-000;Rua Otacílio Negrão de Lima;8;Ibirité;Ibirité;MG;;CEJUSC
CEJUSC IGARAPÉ;E-MAIL;(31) 3534-2240;https://www.tjmg.jus.br/portal-tjmg/;cejusc.irp@tjmg.jus.br;;32900-000;Rua Manoel Franco Amaral;450;Cidade Jardim;Igarapé;MG;;CEJUSC
CEJUSC INHAPIM;E-MAIL;(33) 3315-3350;https://www.tjmg.jus.br/portal-tjmg/;cejusc.inp@tjmg.jus.br;;35330-000;Rua Coronel Antônio Fernandes;246;Centro;Inhapim;MG;;CEJUSC
CEJUSC IPANEMA;E-MAIL;(33) 3314-1457;https://www.tjmg.jus.br/portal-tjmg/;cejusc.yan@tjmg.jus.br;;36950-000;Avenida Sete de Setembro;1030;Centro;Ipanema;MG;;CEJUSC
CEJUSC IPATINGA;E-MAIL;31-38286534/38286530;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iig@tjmg.jus.br;;35160-011;Avenida Maria Jorge Selim de Sales;170;Centro;Ipatinga;MG;(Praça dos Três Poderes);CEJUSC
CEJUSC ITABIRA;E-MAIL;(31) 3835-8741;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iba@tjmg.jus.br;;35900-560;Avenida Mauro Ribeiro Lage;894;Centro;Itabira;MG;;CEJUSC
CEJUSC ITABIRITO;E-MAIL;(31) 3561-2008;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iro@tjmg.jus.br;;35450-000;Rua João Pessoa;251;Centro;Itabirito;MG;;CEJUSC
CEJUSC ITAJUBÁ;E-MAIL;(35) 3622-6785;https://www.tjmg.jus.br/portal-tjmg/;cejusc.ija@tjmg.jus.br;;37500-036;Rua Dr. Theomiro Carneiro Santiago;90;Centro;Itajubá;MG;;CEJUSC
CEJUSC ITAMBACURI;E-MAIL;(33) 3511-3100;https://www.tjmg.jus.br/portal-tjmg/;cejusc.itc@tjmg.jus.br;;39830-000;Rua Horácio Luz;1192;Centro;Itambacuri;MG;;CEJUSC
CEJUSC ITAMONTE;E-MAIL;(35) 3363-1536;https://www.tjmg.jus.br/portal-tjmg/;cejusc.imo@ tjmg.jus.br;;37466-000;Rua Maria da Fé  ;159;Vila Nova;Itamonte;MG;;CEJUSC
CEJUSC ITAPECERICA;E-MAIL;(37) 3341-1455;https://www.tjmg.jus.br/portal-tjmg/;cejusc.ipc@tjmg.jus.br;;35550-000;Rua Antônio Ribeiro Avelar;176;Oliveira Moraes;Itapecerica;MG;;CEJUSC
CEJUSC ITAÚNA;E-MAIL;(37) 3249-0200;https://www.tjmg.jus.br/portal-tjmg/;cejusc.ian@tjmg.jus.br;;35680-054;Praça DR Augusto Gonçalves;10;Centro;Itaúna;MG;;CEJUSC
CEJUSC ITUIUTABA;E-MAIL;(34) 3271-9800;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iua@tjmg.jus.br;;38300-148;Avenida Nove A;45;Centro;Ituiutaba;MG;;CEJUSC
CEJUSC ITUMIRIM;E-MAIL;(35) 3823-1573;https://www.tjmg.jus.br/portal-tjmg/;cejusc.iym@tjmg.jus.br;;37210-000;Avenida Dom Inocêncio;143;Centro;Itumirim;MG;;CEJUSC
CEJUSC ITURAMA;E-MAIL;(34) 3411-0440;https://www.tjmg.jus.br/portal-tjmg/;cejusc.itm@tjmg.jus.br;;38280-000;Praça Prefeito Antônio Ferreira Barbosa;1227;Centro;Iturama;MG;;CEJUSC
